molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_type
CHEMBL1824055,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC1=O,5.3,nM,IC50
CHEMBL1824055,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC1=O,130.0,nM,IC50
CHEMBL1824055,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC1=O,13.0,nM,IC50
CHEMBL1824055,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC1=O,0.7,nM,IC50
CHEMBL1824055,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC1=O,14.0,nM,IC50
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,130.0,nM,IC50
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,2400.0,nM,IC50
CHEMBL7889,CC(=N)NCCCC[C@H](N)C(=O)O,1600.0,nM,IC50
CHEMBL62077,CCc1ccnc(N)c1,1100.0,nM,IC50
CHEMBL62077,CCc1ccnc(N)c1,4300.0,nM,IC50
CHEMBL62077,CCc1ccnc(N)c1,2200.0,nM,IC50
CHEMBL133572,Nc1c(S(=O)(=O)[O-])cc(Nc2ccc(Nc3nc(Cl)nc(Cl)n3)cc2S(=O)(=O)[O-])c2c1C(=O)c1ccccc1C2=O.[Na+].[Na+],1600.0,nM,IC50
CHEMBL132630,Clc1ccc(Sc2ccccc2C2=NCCN2)cc1,320.0,nM,IC50
CHEMBL130372,COc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1OC,87.0,nM,IC50
